식당(ID),식당명,주차가능여부,반려동물입장가능여부,다국어메뉴판제공여부
7996,신정갈비,N,N,Y
7997,동해생태탕,N,N,N
7998,비에스엠,N,N,N
7999,실비식당,N,N,N
8000,농심김밥,N,N,N
8001,마구로테이블,N,N,Y
8002,행복한 밥상,N,N,N
8003,더 리터(중앙동점),N,N,N
8004,중앙곰탕,N,N,Y
8005,일력초밥,N,N,N
8007,카페 시네마,N,N,N
8008,하동집,N,N,N
8010,새진주집,N,N,N
8012,부흥숯불갈비,N,N,N
8013,낭만을 마시는 포차,N,N,N
8015,부평양곱창,N,N,Y
8016,부평식당,N,N,N
8017,깡통골목원조비빔당면,N,N,N
8018,한신포차(남포동점),N,N,N
8020,소문난김밥집,N,N,Y
8021,밀양집,N,N,Y
8022,부성양곱창,N,N,N
8024,투다리(부평점),N,N,N
8025,새부평한우갈비,N,N,Y
8026,미누식당,N,N,N
8027,대정양곱창신관,N,N,Y
8028,감나무집,N,N,Y
8029,부평통닭,N,N,N
8030,봉짱,N,N,Y
8031,황진이,N,N,N
8032,마카오박,N,N,N
8033,종각집,N,N,N
8034,부영식당,N,N,N
8035,종가집 숯불갈비,N,N,N
8036,평양갈비,N,N,Y
8037,동원미스타블랙,N,N,N
8038,하얀새,N,N,N
8039,합천최고돼지국밥,N,N,N
8040,남일식당,N,N,N
8041,부산명물횟집,N,N,N
8042,푸른도시,N,N,N
8043,동명양곱창,N,N,N
8044,진호돼지국밥,N,N,Y
8045,함흥냉면,N,N,N
8046,오븐에꾸운닭(광복점),N,N,N
8047,동해복국,N,N,Y
8048,삼화식당,N,N,N
8049,남해식당,N,N,N
8050,김송오돈까스,N,N,N
8051,남포양식당,N,N,N
8052,서울깍두기,N,N,Y
8053,부산꼼장어,Y,N,N
8054,세번째 이야기,N,N,N
8055,함경남포면옥,N,N,N
8056,"어패류조합2층식당부(343,344)",N,N,N
8057,김해집,N,N,N
8058,고궁(남포냉면),N,N,N
8059,우리집,N,N,Y
8060,녹산아구찜,Y,N,N
8061,부산포,N,N,Y
8062,남포삼계탕,N,N,Y
8063,일신참식당,N,N,N
8064,할매집회국수,N,N,Y
8065,홉스,N,N,N
8066,용두산갈비,N,N,N
8067,60계 치킨(부산대신점),N,N,N
8068,소문난손맛,N,N,Y
8069,한바다 돌솥밥,N,N,N
8072,이대감숯불갈비,N,N,Y
8073,참좋은식당,N,N,N
8076,남원추어탕,N,N,Y
8077,부페시즈,N,N,N
8078,마산아구찜,N,N,Y
8079,명성횟집,N,N,Y
8081,신향양다리구이,N,N,N
8082,풍성식당,N,N,N
8083,물레방아,N,N,N
8084,심청이보쌈홍어삼합,N,N,N
8085,일품맛소맛갈비탕,N,N,N
8086,초량장어,N,N,N
8087,국제뷔페,N,N,N
