음식이미지(ID),식당(ID),식당명,음식이미지(URL)
168,749317,투데이즈 삐딱,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2391076_1638845062_menu.png
172,766534,미소정,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2420248_1638845094_menu.png
186,870563,스타벅스(서면문화로점),https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2822567_1638846183_menu.JPG
148,884828,청담회장님댁,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/3171606_1638844961_menu.png
149,891810,청담 회장님댁,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/3171606_1638844961_menu.png
150,899520,제이제이마카롱,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/1855424_1638844961_menu.png
145,909084,경양카츠(해리단길점),https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/3129684_1638844036_menu.png
189,917688,스타벅스(그랜드조선 부산점),https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2811910_1638846183_menu.png
147,920083,리안광,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/3134942_1638844556_menu.png
140,941321,문토스트(남천점),https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/1504527_1638844034_menu.png
141,941825,스케줄,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/3159952_1638844035_menu.png
138,949455,누리왕만두,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2550589_1638843931_menu.png
