식당(ID),식당위도,식당경도
9776,35.1037,129.0351
9777,35.1034,129.0351
9778,35.1014,129.037
9779,35.1014,129.037
9780,35.0983,129.0367
9781,35.1014,129.035
9782,35.1019,129.0352
9783,35.1019,129.0353
9784,35.11,129.0386
9785,35.1052,129.0356
9786,35.106,129.0353
9787,35.1089,129.0378
9788,0,0
9789,35.102,129.0348
9790,35.1083,129.0381
9791,35.1082,129.0349
9792,35.1014,129.0348
9793,35.1021,129.0344
9794,35.1009,129.0351
9795,35.108,129.0333
9796,35.0992,129.0264
9797,35.1008,129.0265
9798,35.1006,129.026
9799,35.0996,129.0265
9800,35.099,129.0264
9801,35.1001,129.0262
9802,35.099,129.0264
9803,35.1023,129.0263
9804,35.0988,129.0276
9805,35.0991,129.0269
9806,35.1002,129.0272
9807,35.0999,129.0305
9808,35.1024,129.0295
9809,35.1011,129.0303
9810,35.1005,129.0304
9811,35.1008,129.0299
9812,35.0986,129.0313
9813,35.0974,129.0334
9814,35.0977,129.0303
9815,35.0983,129.0326
9816,35.0979,129.0301
9817,35.0987,129.0321
9818,35.0981,129.026
9820,35.0973,129.0287
9821,35.0989,129.0295
9822,35.0989,129.0315
9823,35.0978,129.0271
9824,35.1089,129.0347
9825,35.111,129.0368
9826,35.0973,129.0326
9827,35.1063,129.0244
9829,35.1024,129.0191
9830,35.1212,129.0417
9831,35.116,129.0398
9832,35.1381,129.0588
9833,35.1331,129.0542
9834,35.1398,129.0605
9835,35.1233,129.0447
9836,35.1398,129.0605
9837,35.1186,129.0405
9838,35.129,129.0471
9839,35.1185,129.0406
9840,35.1379,129.0608
9841,35.141,129.0611
9842,35.1289,129.0477
9843,35.1185,129.0393
9844,35.129,129.0487
9845,35.0916,129.0435
9846,35.0856,129.0406
9847,35.091,129.0424
9848,35.0892,129.0402
9849,35.0926,129.0427
9850,35.0894,129.0421
9851,35.1581,129.058
9852,35.1622,129.0584
9853,35.161,129.0569
9854,35.1601,129.0567
9855,35.1596,129.0568
9856,35.1596,129.0572
9857,35.1586,129.0567
9858,35.1582,129.0571
9859,35.1592,129.0591
9860,35.1582,129.0575
9861,35.1599,129.0557
9862,35.1608,129.0554
9863,35.1596,129.0565
9864,35.175,129.0665
9865,35.1748,129.0755
9866,35.1745,129.0684
9867,35.1766,129.0725
9868,35.1679,129.0399
9869,35.1555,129.0682
9870,35.1543,129.0563
9871,35.1571,129.0602
9872,35.1524,129.0586
9873,0,0
9874,35.1564,129.0614
9875,35.1573,129.0484
9876,35.1444,129.0599
9877,35.1486,129.0534
9878,35.148,129.0539
9879,35.1448,129.0598
9880,35.1472,129.0581
9881,35.1463,129.028
9882,35.1585,129.0484
9884,35.1569,129.0575
9885,35.1589,129.0611
9886,35.1579,129.0671
9887,35.1254,129.0887
9888,35.1357,129.0884
9889,35.1445,129.0746
9890,35.2042,128.9952
9891,35.1961,128.9902
9892,35.2096,129.0041
9893,35.2063,128.9974
9894,35.2128,129.0456
9895,35.2129,129.0466
9896,35.2111,129.01
9898,35.2248,129.1484
9900,35.2065,129.1221
9902,35.2275,129.1484
9903,0,0
9904,35.0929,128.9723
9905,35.0841,129.0066
9906,35.0901,128.9986
9907,35.2156,129.1104
9908,35.2314,129.1268
9909,35.2196,129.1116
9910,35.2753,129.0871
9911,35.2141,129.1079
9912,35.2431,129.0921
9913,35.2174,129.1098
9914,35.211,129.1043
9915,35.2146,129.1045
9916,35.2717,129.093
9917,35.2406,129.0937
9918,35.2255,129.0915
9919,35.1084,128.932
9920,35.1124,128.9312
9921,35.1926,128.9038
9922,35.2126,128.9819
9923,35.1884,129.0802
9924,35.1885,129.104
